gold_id,customer_tweet_id,customer_text,brand_reply,candidate_intent,gold_intent,review_notes
107,2700910.0,"Hey @AmazonHelp -- it says you delivered a package to my apartment yesterday, but you didn't. What can we do to make sure I get what I ordered?",@396543 I'm sorry you've not received your shipment! The following link has some tips that may help in locating it: https://t.co/2TlCnVbFTI ^TR,Delivery & Tracking,,
108,298952.0,"@115830 hiya, updated my delivery to come faster (from standard to one day but changed my mind and am going for express delivery).  and you've charged me twice - could you just charge me once to upgrade my delivery? it's been 5.99 then again 6.99 :/",@187258 Please give us a ring here: https://t.co/JzP7hlA23B so we can look into this with you as we do not have account access here. ^TR,Payment & Charges,,
109,1547612.0,U can’t make call to @115850 CS Team. U need to visit “MyAccount” for everything.  Period! 😒😏,@479150 any ongoing issue with any of your orders. We'd like to help. (2/2) ^GK,Account & Login,,
110,881066.0,"@AmazonHelp prime membership, the card was expired so I expected a ""hey update your payment info before we go through with the charge""","@329206 I apologize for the unexpected charge. You can view and cancel your Prime membership, here: https://t.co/6TYHE6so0m^AG",Prime Membership & Benefits,,
111,537573.0,Finally today I've sent an invitation for Amazon Echo Dot &amp; now waiting for the confirmation mail from @115850 so existed can't wait to get the hands on it :),@182211 Woohoo!! :D We're glad to hear that. We really wish you get your hands on it. Wishing you the luck. ^NK,Digital Services & Devices,,
112,2618135.0,"Thank you Kathleen of @115821 for entertaining my long chat and for giving me free 1 day shipping! Unlike the first CSR I chatted with, whose name I can neither pronounce nor remember, you were very accommodating and helpful. Thank you ❤️ @117634 @AmazonHelp","@240710 Glad to hear that you've received enough support from our team. However, I'll ensure to forward your feedback internally to the concerned team so that it is not repeated in the future. ^NK",Delivery & Tracking,,
113,1786122.0,@115850 bought a Lenovo z2 delivered on 12th November. Defective piece provided.first it was charging issue. Now speaker problem.,"@536630 I understand how upsetting it could be. If the return window is expired, please contact the manufacturer to claim the available warranty. Please let us know for further assistance. ^BS",Product Problems,,
114,2386664.0,"@AmazonHelp I have a complaint/question about an order I received yesterday, can I send you a short video?","@594140 Hi, how can we help? ^JJ",Digital Services & Devices,,
115,2866119.0,"@AmazonHelp Hey! So I was being charged for Prime on https://t.co/LMZE49jNVq and Amazon.ca simultaneously. Turns out I paid for multiple months on both, how do I get refunded for those months?",@796055 We'd love to help! For the Prime membership on https://t.co/nUUp5MLhYl you may reach us here: https://t.co/65ZCirZXzo. For the Prime membership on Amazon.ca you may reach us here: https://t.co/xrW55e2Usg ^JA.,Payment & Charges,,
116,1115308.0,@115821 I don't recall signing up for a one year plan . Sort it out pls https://t.co/e3bSCDRHPF,"@383182 Hi, it's a phising email, not from us. Please don't submit your details. ^AT",Account & Login,,
117,1031073.0,403-8415773-6460323 emi charged on cancelled order ! No refund processed to bank ! Fraud by amazon #AmazonIndia #Amazon,"@353572 We'd like to investigate this further, please share your details here: https://t.co/cQVomR1pWz. ^HA",Payment & Charges,,
118,976820.0,@AmazonHelp You already have my order details from the screenshots I provided... Go ahead and do your research and correct the issue,"@351670 I'm sorry as we'll not be able to access your account from here, please share your details and we'll get back to you.^VR",Order Management,,
119,1464229.0,@AmazonHelp any ideas on why my firestick has completely resized itself and tips to sort the problem out? https://t.co/LWBoarLuvm,"@459859 It looks like the feature ""Screen Magnifier"" has been enabled. Press Menu + Play/Pause to enable or disable the zoom. ^MJ",Digital Services & Devices,,
120,1209097.0,@115821 last hour spent frustratingly trying to edit my address for an order but it refused to accept my new zip (post) code as beingcorrect,@403853 Sorry to hear this. What Amazon site are you using? For example. https://t.co/nUUp5MLhYl https://t.co/ykTUEmdsQA etc ^PK,Order Management,,
121,89203.0,"@AmazonHelp  - dear Amazon help - HELP! I'm dealing with Amazon for more than over a week now trying to cancel my order that has been partially paid with a giftcard and partially with a creditcard, but Amazon does not accept the creditcard payment 1/2",@135293 Sorry to hear hat your account is blocked. Have you received an email from the Accounts Specialist team about this? We won't be able to access your account until it has been reviewed by an Account Specialist. ^RS,Order Management,,
122,323755.0,@AmazonHelp I haven’t enabled that since yesterday. Did Amazon do that for me? Do I need to be concerned? I had a secure connection in Chrome at login.,"@193111 Have you recently updated your browser, cleared cache &amp; cookies, or reset you password, Sean? ^LB",Account & Login,,
123,326373.0,"@AmazonHelp All the voices in Amazon movies sound like gerbils. All the words are very fast. Tried restarting firestick, Pausing, rew, ff",@193751 We'd like to try some real-time troubleshooting with you. Please reach out to us via phone/chat here: https://t.co/hApLpMlfHN ^KP,Digital Services & Devices,,
124,1470385.0,@AmazonHelp trying to set up my firestick but the remote won’t pair with the device tried changing batteries but still not working,@308730 EEK! Check out our help pages here: https://t.co/Tyx8W0OYyg Let us know how it goes! ^DA,Digital Services & Devices,,
125,1241101.0,Out of four @115821 orders scheduled for delivery today I received 1. Two entire orders still haven't even shipped. Super disappointed,"@411114 I'm sorry for the disappointing experience, Russell. Have you gotten any e-mails about the orders which haven't shipped? ^BL",Order Management,,
126,791025.0,@AmazonHelp It is saying it ll be delivered today but till now no update,@308624 and we'll sort it out right away. 2/2^OS,Delivery & Tracking,,
127,743265.0,"@115850 It is not...the product has the mrp of 499...the product bought from any batch should be sold at that batch price.
@115850","@297724 I understand your concern, Dilkhush. Please click here: https://t.co/yQb39uNRsX for more info on pricing. ^HD",Product Problems,,
128,1456363.0,"@115850 Worst Service to prime member, its been 15days &amp; still my product is under return order.","@458029 Our apologies for the delay with the return pick up. Did you happen to report this to us, here: https://t.co/vlvfJr4nN9? ^YP",Prime Membership & Benefits,,
129,1204105.0,"@AmazonHelp trying to return laptop battery but you say can't send by post. How do you suggest i send it, without costing a fortune?",@402856 Sorry to hear this. Was it sold directly by Amazon or by a marketplace seller? ^PK,Returns & Refunds,,
130,746355.0,Ordered something on @115821 August 1st... still haven’t received it. Now the vendor is no longer accepting emails. 🙃🙃🙃,@189676 Please get in touch with us directly here: https://t.co/hApLpMlfHN so we can review available options with you. ^EZ,Order Management,,
131,1694526.0,"Alexa, help me exaggerate the size of that fish I caught… or bought - @115833 Ideal Christmas present for Irish anglers… #fishirl https://t.co/GcnrJuHVOw",@514164 Glad to hear you're hooked on Alexa! She really knows how to reel people in! ^TH,Digital Services & Devices,,
132,903643.0,"@AmazonHelp I ordered a makeup organizer &amp; it came chipped. Don't really want to go thru the exchange process, do you do partial refunds?",@334513 or a third-party seller? You can view this under the item name in your orders here: https://t.co/Y5jpI9gRhE ^HC (2/2),Order Management,,
133,943519.0,@AmazonHelp I do have a question. I have a cord to return. It came with a life time warranty. I forgot to mail it out. I don’t want to be charged.,"@343707 Hi, Niki! Without providing your account info, can you tell us if the item is within the 30 day return window? 
^HS",Returns & Refunds,,
134,486787.0,@115830 - ordered an Alexa - tracking says it’s been delivered but it hasn’t been! Where is it?! Help please!,@230829 I'm sorry for the frustration. Have you followed these steps in finding the missing parcel: https://t.co/K3hl5Nod1J? ^KB,Digital Services & Devices,,
135,445627.0,Never had a problem with @115830 in my life but woke up to the news that they just double charged me for my order isn't great. Then called their customer service and the guy is trying to say its a service charge? Nu uh honey!,"@220523 Hello, could you please confirm: are there two exact same charges for the same amount on your statement? ^BD",Order Management,,
136,5242.0,"@115850 You don't deliver to Imphal , Manipur 795001. Even though I am prime member. So not buying one...till you deliver.","@125691 Due to certain regulatory and operational restrictions, we're unable to offer delivery services at some pin codes. We are working on expanding our services. ^NR",Prime Membership & Benefits,,
137,276476.0,"@AmazonHelp Yes it is. It says it is with the courier but was delayed last week for ""external reasons"" and still no delivery!",@182052 We do not have access to your account on Twitter. Please contact us here via chat/phone:  https://t.co/JzP7hlA23B ^CR,Delivery & Tracking,,
138,21871.0,Yo @115830 stop putting my account on hold! I just got it off hold yesterday and it's already back on hold and orders cancelled wtf!?,"@120768 Sorry about that, have you received an email from an account specialist? ^KM",Account & Login,,
139,410490.0,"Hey Amazon, could you send me my shit please.  I paid for it to be delivered by wednesday and you haven't even bothered to PRINT A LABEL yet",@212916 Oh no! Have we missed the estimated delivery date given in the confirmation e-mail after the order was placed? ^TG,Payment & Charges,,
140,1049138.0,"I’m a Prime member and ordered something labeled Prime, sold by @115821 - but shipping speed is 3-5 days.  A/B testing speed change?",@367961 I'm sorry for the trouble! Is this a large or hazmat item? Was this for multiple quantities? We'd like to help. ^ST,Prime Membership & Benefits,,
141,348050.0,@115850 This one makes me smile I bought first time from amazon but the product was good from external only... https://t.co/E7RqgLZY1V,@207920 We're sorry that the product couldn't meet your expectations. You may create a return here: https://t.co/3yqvLnyTxi. ^HK,Product Problems,,
142,273857.0,@115850 :- unprofessional approach to deliver product to prime customer..seriously terrible..A gift has turned into horror.,@181437 We've responded to your concern here: https://t.co/f4dS0GAPgN please check. ^KA,Product Problems,,
143,2216610.0,"@115850 order no.404-7366688-1515541 you have fraud customer representatives and courier service, ask them to speak the truth and not lure your customer into buying your product.","@647625 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is visible to the public. 2/2 ^PS",Product Problems,,
144,426643.0,@AmazonHelp it’s not letting me cancel my order please help?,"@216472 Hi, Is the order sold by a Marketplace seller or Amazon directly? ^AT",Order Management,,
145,1320450.0,@AmazonHelp No but I opted for the replacement but the site said that I have to pay for the delivery of damaged item,@428314 Sorry to know about the damaged product. Please connect with us using the link provided above and we'll check. ^KA,Returns & Refunds,,
146,899444.0,@AmazonHelp two deliveries botched -not delivered as per PRIME promise. I order prime for quick delivery- otherwise I would go to a store.,"@333546 I'm sorry for the poor experience! When you spoke with us, what options were we able to offer for the orders? ^EP",Order Management,,
147,2790574.0,@AmazonHelp any news on where my parcel is? Why pay for Prime when it’s still not been delivered 2 days later? Apparently delivery was attempted yesterday- it wasn’t. And as yet nothing today.,@778851 I'm sorry for the wait. Some items aren't able to dispatch immediately. Our shipping time frames are the transit time from when we ship the item till you receive it. What date is given on your order confirmation e-mail? ^AN,Delivery & Tracking,,
148,425465.0,@AmazonHelp it keep giving me incorrect password but i've reset the password 3 times now and even used a copy/paste on one to confirm i wasnt mistyping,@216205 Hmmm have you tried clearing the cache? ^AS,Account & Login,,
149,2276145.0,@AmazonHelp hi I downloaded a game by accident and would like to undo this however when I go to return the item it asks me to drop it off and I can't as it was a Pc download only,"@662023 Thanks for reaching out! Games and software downloads ordered on https://t.co/ykTUEmdsQA are not returnable. For more information, see the Amazon Games and Software Terms of Use, which is accessible from games and software detail pages at the time of purchase. ^KJ",Returns & Refunds,,
150,1139799.0,Returned from a few days away to find my (very wet) @115830 parcel just chucked over my front wall. @AmazonHelp  #amazonprime #StormBrian https://t.co/x6oeE1g2wT,"@386550 Hi, sorry to see that. Have you looked into the options available here: http:https://t.co/5RcjVPJgUP? What carrier was used? ^JJ",Returns & Refunds,,
151,1531210.0,@AmazonHelp can u delvr a product on or bfr 12 nov as dat product is not eligible for prime. I want to gift it 2 my father on his b'dae.,"@475033 shipping speed selected, availability etc., The most feasible delivery date is displayed at checkout of the order. ^VN(2/3)",Product Problems,,
152,1381894.0,@AmazonHelp Surprisingly when asked for clear answer fr not delivering same products twice. Amazon stopped response what an idea,"@182213 That's quite a comment, Vinod. Could you let us know If you've received any correspondence from the social media team? ^NK",Product Problems,,
153,318813.0,@115850 ORDER # 404-1457179-8395559 Its showing issued refund but I have not received the credit yet ..,"@192057 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public.(2/2)^BA",Returns & Refunds,,
154,1534954.0,8:00 and still no @115821 delivery!  I’m never ordering games from you again.  You’ve let me down once again.  You say release day delivery but never follow through.  Guess it’s @120358 from now on!,@397119 I'm sorry to hear this. What's the delivery date and most recent tracking shown here: https://t.co/Y5jpI9gRhE? ^LI,Delivery & Tracking,,
155,2890449.0,@AmazonHelp Nah.  I'm trying to watch something.  I don't think it's my phone.  I'll try my wife's S8 later.  I have the US factory unlocked version S8+,@130147 The link provided will be give you the opportunity to reach out to us and we can run through troubleshooting steps together. ^JO,Delivery & Tracking,,
156,993954.0,@115850 My package has been held for cash on delivery payment. Courier agent is not picking up my calls. Pls help,@355464 I'm sorry for the trouble. Please reach out to our support team at: https://t.co/vlvfJr4nN9 and we'll check it for you. ^AU,Payment & Charges,,
157,817635.0,@115850 can you please ship the echo devices a bit earlier...can't wait to get my hands on one...#echo #Alexa,"@177685 I get your excitement to meet Alexa. However, looks like she'll be taking a little more time. Appreciate your  patience. ^SV",Digital Services & Devices,,
158,2600920.0,@115850 hi this one of your prime customer . I am really facing bad experience since I have purchased your prime membership. Your orders get delay and your cx R.E.M. is pathetic. I really loking frwd to speak to higher in ur company as I amfrustrated __email__,@736205 Looks like you had an unpleasant experience with the recent delivery of your order. Let me investigate this further and help assist. Kindly fill in your details here https://t.co/c6HeFcn1ok and we'll reach out to you for assistance. ^VM,Prime Membership & Benefits,,
159,559816.0,"@115830 well wasted day delivery didn't come even though the van clearly went passed our house on the map just didn't stop ,waited till 10pm like told now lets see if comes tomorrow really don't need this crap  having to send stuff back,stay clear till February .",@247927 Oh no! So sorry for the delay! We are here to help! Please reach out to us here: https://t.co/6f9T7pbTKL so we can look into this issue with you! ^AD,Delivery & Tracking,,
160,2571924.0,"@115830 Hi I received a wrong item today and so went to your site to report this and request a replacement, only to find that I would be liable to pay the postage to send the wrong item back. Can I ask why it's my responsibility to pay this when it was your mistake?",@729318 I'm sorry for the mix-up! We'd like to help! Was this item shipped and sold by Amazon or a third-party seller? ^WT,Payment & Charges,,
161,2288235.0,@115850  A phone(defective) that was intended to be a diwali gift has yet not been returned nor refunded for.Thank you for ruining diwali. https://t.co/JuhZMzRhfg,"@664791 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^MO",Product Problems,,
162,2758124.0,@AmazonHelp I thought video streaming came with prime membership ??,"@208484 Hey Carlos! It does, but it also depends on which level of Prime you have and what are you trying to access. For instance, the Amazon channels are subscription-based and cost an extra fee.  For more information, click here: https://t.co/GfCmMdqpbq. ^SY",Prime Membership & Benefits,,
163,2824770.0,"@AmazonHelp Complaint raised around 45 days back that not getting subtitles while watching movies with Prime Video on TV
Still not solved",@382871 I understand your concern regarding the subtitles not available when watching Prime video on the TV. Please be assured that we're working on it and we'll get back to you with an update soon. ^SY,Digital Services & Devices,,
164,2682660.0,"@AmazonHelp No update from 24 hrs, 
Stun the product is showing delivered?????
WHAT IS THIS????? https://t.co/MQXiqJ8UZN","@754624 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.  ^VH",Product Problems,,
165,174576.0,@AmazonHelp hello! I have somehow been charged for a membership to American Amazon Prime despite not wanting it or clicking it - please could I be refunded ASAP? This has happened before and it was resolved very quickly then.,@156933 I'm sorry for the unexpected charge! We'd like to help. Please reach out to us via phone or chat here: https://t.co/JzP7hlA23B ^JP,Payment & Charges,,
166,2378975.0,"@115850 Ordrd Ext-Hard Disk by payng Rs100 fr 1 day delivery but the product is defective,now reqsted for replacmnet and it says it will take 3 days time!! Plz tell my fault for defective product and for what I paid extra money?!!","@686032 I'm sorry about the defective item delivered. I do understand that there was no mistake from your end. However, the replacement order will be dispatched once the previously ordered item is returned to Amazon. I'll pass along your feedback to our team internally. ^GK",Payment & Charges,,
167,1933027.0,Continued shockingly awful service from @115821. Account still on hold for over 2 weeks. No one able to actually help @AmazonHelp shameful,@420470 I'm sorry for the trouble! Have you checked your spam/junk folders for an email from our Account Specialists? ^QJ,Account & Login,,
168,2284014.0,@AmazonHelp I need help with my order because it keeps saying revise payment option when i have more money then needed in my account to buy what i want and i already entered the information correctly and it says that the order already went through,"@663742 Hi there- If the info is correct, have you tried deleting and re adding to see if this refreshes the order for you? ^NV",Payment & Charges,,
169,723640.0,"@118919 @AmazonHelp . That's fine, I'll ship the product back. But who owns the risk of further damage during back shipment?",@293100 Kindly connect with us here: https://t.co/u04ED4Q7vs and we'll help you with the required information. ^SH,Product Problems,,
170,2726781.0,@AmazonHelp I have.  to what end?  people say still nothing is done here on your page.  so what customer services is there for customers who have paid Prime one day and don't get it?,"@764554 Thanks for the heads up, we've received your details and working on this for you. We'll be sure to sort this and reach out to you soon with an update. Appreciate your patience. ^VN",Payment & Charges,,
171,2355211.0,"@AmazonHelp my order wasn’t packaged, just had a shipping label stuck on the cellophane and now my dad knows what his Christmas present is #frustrated https://t.co/KwBdOlSgTW",@680434 We use this type of packaging to cut down on waste. This is how to dispatch in an Amazon box at checkout: https://t.co/fGUE3hWKuK^DD,Order Management,,
172,133862.0,@AmazonHelp I have not received any email from your end. I want money back asap. Can you at least do that. It is highly unacceptable. With no help from your end you are forcing me to reach out to consumer forum. #patheticamzon @115851 @AmazonHelp @115821,"@146160 Apologies for the stretch, this was never our intention. We are effectively working on this. Please respond to the correspondence sent to your registered email ID and we will assist you. ^AH",Returns & Refunds,,
173,383353.0,@115850 Unable to call customercare. please cll me 9769909024. I am a prime customer and product promis 1 day delivery but its 6days now,"@206819 Also, please don't provide your order/account details as we consider them to be personal information. ^HK",Delivery & Tracking,,
174,1264814.0,"@115850 pthetic std of prime srvices .nobody hs any idea whr d pkg is, dat I hv alrdy paid for . Shame amazon! #407-64432331483510","@416172 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA",Payment & Charges,,
175,2319696.0,@115833 @5631 @244902 @223118 Heard strange cross-talk on my echo device today. It sounded like Transistor Radio with background noise and later heard a kid talking. It lasted for around 10 mins. Has anyone experienced it? How can we protect our privacy?,"@672331 Hmm, that's odd! We'd like to take a better look at this w/ you. Please reach us via phone here: https://t.co/hApLpMlfHN^KP",Digital Services & Devices,,
176,1445393.0,@8850 @23773 @951 @115821 @115850 @AmazonHelp but i don't remeber the email account through which i had ordered the Product !! I only have imei number !!,@455406 We'll be following up on your concern via DM. Please check. ^HD,Product Problems,,
177,538494.0,"@AmazonHelp No, I’ve only ever had one amazon account which is the one I am using now for prime. Prime membership appears fine on that account which is why the letter is a bit puzzling.",@244844 Is the letter referencing Prime Video? Have you had a free trial for Prime Video or ended your Prime membership within the last year? ^RA,Prime Membership & Benefits,,
178,1245882.0,"Order something on @115821 prime, next day shipping. 

Conf email: package will arrive Monday Oct 30.

Is today Sunday?","@412277 (2/2) We strive to ship items as quickly as possible, however, some orders may take extra time to process. ^WT",Order Management,,
179,986383.0,"@AmazonHelp Of course, I am aware of that, but how limited would the features be? Of course, I am aware I would have to sideload the Alexa Android app.",@353768 Because of the restricted functionality we don't shop the Echo to Poland. The ^AN,Digital Services & Devices,,
180,1110788.0,#AmazonIndia #Shame Wht a nice way to sel product. Show MRP 8400 of product having MRP 3000(image attached from website and actual product https://t.co/BhRImStl3W,"@382159 I understand your concern, Bikash. Pricing and offers are decision of the sellers. For more info: https://t.co/yQb39uNRsX. ^HD",Product Problems,,
181,1711457.0,"@AmazonHelp A package was delivered to my home but it's my neighbor's package. However, the orders page says my packages were delivered.",@518125 I'm sorry for the wait for your order. Please try these steps to locate a missing delivery: https://t.co/09zHDUYRiB ^DO,Delivery & Tracking,,
182,2366251.0,@AmazonHelp So why you have charged 1st hand products I want to say to all customers don't purchase any item from Amazon,@683076 Certainly not the kind of experience we'd want you to have. I'd like to take a closer look at this. Please share your details here: https://t.co/beaaDm0muc and I’ll contact you soon. ^SM,Payment & Charges,,
183,402561.0,"@AmazonHelp Opened new account as instructed but have yet been able to get my digital assets, prime membership, giftcard money or anything moved over.",@211235 Have you checked your Spam and Junk folders as well? ^CO,Prime Membership & Benefits,,
184,2884212.0,Not sure I’ll be renewing my @115830 @amazonhelp Prime membership now. https://t.co/YPbw9akaRF,"@133008 Hi Rachel, sorry to see that. Can I ask what the latest tracking update has been: https://t.co/aaDyEz1VgE?^TI",Prime Membership & Benefits,,
185,1522556.0,"@115833 I'm hvng trouble with Drop in lately: ""to drop in on 1 of ur devices go to the alexa app choose ur contact name &amp; enable drop in","@31143 I'm sorry! To confirm, is drop-in enabled for these devices? Have you contacted us about this: https://t.co/hApLpMlfHN? ^SB",Digital Services & Devices,,
186,1496010.0,"@AmazonHelp Apparently the call was intended for a query on my girlfriend's account, not mine, as we have a joint prime account.","@467339 Thanks for the update, please let us know if you need anymore help! ^JJ",Account & Login,,
187,2571924.0,"@115830 Hi I received a wrong item today and so went to your site to report this and request a replacement, only to find that I would be liable to pay the postage to send the wrong item back. Can I ask why it's my responsibility to pay this when it was your mistake?",@729318 I'm sorry for the mix-up! We'd like to help! Was this item shipped and sold by Amazon or a third-party seller? ^WT,Returns & Refunds,,
188,2979691.0,@115821 y’all have a way of hiding orders from other people on the account?? Wife totally found out her present...,"@821770 On no! We do offer you the ability to ""Archive"" an order so it cannot be seen from the ""Your Orders"" page, details: https://t.co/LQ90PIpfZ3 ^JR",Account & Login,,
189,2601400.0,@AmazonHelp I never returned this!!!! I never received this. https://t.co/pxntgHK39h,@736319 Hi. My apologies for this. What were you advised when you spoke to us on the phone? ^DC,Returns & Refunds,,
190,2886564.0,"@AmazonHelp Trying to return items, I don't have access to a printer,I wrote the labels, Hermes will not accept, told today 1 email will be sent and to write out label,so far 2 e mails for items and no mention of I item for return and now told I need to pay the driver for returned package 😩",@800548 Thanks for reaching out to us today. I'm so sorry you're having issues returning your items! Are you able to have someone else print the labels for you? You can find more information on returning items you ordered here: https://t.co/EiDAvbVsCJ  ^FJ,Payment & Charges,,
191,2230056.0,@115821 I have purchased a gift card to print off and I am yet to receive it and now you’ve blocked my account?!? WTF HELP!,"@650801 I'm sorry for the trouble! Have you received an e-mail from an Account Specialist? Please be sure to check your junk/spam folder for it, as well. ^WJ",Account & Login,,
192,314001.0,@AmazonHelp Also the list view should show the star ratings [key decision maker] of the products for faster decision making to buy or not to buy,@146877 I'll surely pass on your comments to our concerned team internally. ^SH,Product Problems,,
193,1004667.0,"The saga of my screwed-up Letters from Wishing Rock (print version of the book) product page continues. Now, the book is available in two colors! And the number of unrelated 5* reviews has doubled!
@AmazonHelp @115821 https://t.co/fi8CcXULkg",@357795 I'm sorry for the delayed response! I've escalated this to the correct team. I apologize for any inconvenience this may have caused. ^KP,Delivery & Tracking,,
194,383353.0,@115850 Unable to call customercare. please cll me 9769909024. I am a prime customer and product promis 1 day delivery but its 6days now,"@206819 Also, please don't provide your order/account details as we consider them to be personal information. ^HK",Product Problems,,
195,609380.0,@264861 @115821 Not your fault &lt;3 I paid for it in advance though so I think amazon messed up? Also I'm from Germany so that may be the problem..,@264860 Which Amazon site did you order through? Amazon .de / .co.uk / .com ? ^MI,Payment & Charges,,
196,2534545.0,"@AmazonHelp @115821.com @98233 It has been over 2 weeks since the 2 step verification process has not allowed 100s of 1,000s of Amazon sellers like me to access their seller accounts; thereby, losing potentially $100s. I've had it. I am contacting the media.","@461747 Hi Rachel, have you received any sort of advice or information regarding accessing your account? ^PJ",Account & Login,,
197,868597.0,"@AmazonHelp hi, i've order a book that qualifies for free delivery however i need to quicker than the estimated delivery date 1/2","@326241 Hi, Emily! I'd love to help! Is the order being dispatched by Amazon or a seller?https://t.co/aaDyEz1VgE ^RM",Delivery & Tracking,,
198,64214.0,"@AmazonHelp Been waiting for my order for over a week now, the first time it said it was “delivered” at 11:45pm 🤔 now the replacement said attempted delivery last night when I was sat in waiting all evening...customer service are useless.","@130736 Sorry to hear that, Dan. Can I ask what the latest tracking update has been? You can check here: https://t.co/aaDyEz1VgE. ^TI",Returns & Refunds,,
199,947718.0,"@115850:My order #
408-2274794-3329941 is not yet shipped, ordered the same product 2 times but @115850  failed to deliver the product.","@344746 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ 2/2 ^NK",Product Problems,,
200,1885917.0,"@AmazonHelp Hi, i have some credit on my amazon account, can i use this credit on 'Amazon Prime Now'? Thanks",@562510 Have you received an error when trying to order using your gift cards? ^BM,Account & Login,,
